"Plant","Andrena","Anthidium","Anthidium sticticum","Apis melifera","Bombus terrestris","Bombyliidae","Coleoptera","Colletes","Conophorus virescens","Halictus","Halictus pyrenaicus","Hylaeus variegatus","Lasioglossum","Megachile","Megaquile","Mordellistena pumila","Oedemera lurida","Osmia","Oxythyrea funesta","Psilothrix","Sphaerophoeria","Zygaena"
"Cistus albidus",5,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,1,0,0
"Cistus monspeliensis",2,0,2,2,0,1,1,0,0,0,0,1,5,0,0,3,9,0,1,0,2,0
"Cistus salvifolius",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Dorichnium pentaphylum",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,3,4,0,0,1
"Lavandula stoechas",0,0,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psoralea bituminosa",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus tenerrinus",6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Urospermum picrioides",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
