Pol\Pla,Thomisidae,Anthaxia sp.,Acroceridae,Phthiria sp.,Phthiria sp.,"Sapromyza fulvicornis, Minettia semifulva",Trichophthalma jaffueli,Platycherius (Carposcalis) fenestratus,Scaeva melanostoma,"Allograpta hortensis, Toxomerus vertebratus",Platycheirus (Carposcalis) sp.,Syrphus octomaculatus,Diptera,Heterosarus sp.,Bombus dahlbomii,Bombus ruderatus,Chalepogenus caeruleus,Colletes seminitidus,Policana albopilosa,Camponotus sp.,Chilicola sp.,Chilicola sp.,Ruizantheda mutabilis,Ruizantheda nigrocaerulea,Megachile sp.,Sphecidae,Torymidae,Vespidae,Vespula germanica
Alstroemeria aurea,1,2,1,15,3,0,4,0,0,4,1,2,0,12,4,30,0,0,0,0,2,1,1,1,5,3,0,0,1
Aristotelia chilensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,26,0,0,0,0,0,0
Berberis darwinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0
Calceolaria crenatiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Cynanchum diemii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mutisia decurrens,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa eglanteria,0,0,0,1,0,1,0,1,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribes magellanicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Schinus patagonicus,0,0,0,0,0,0,0,0,3,23,9,0,3,0,0,0,0,0,94,27,0,0,79,0,0,0,0,1,0
Vicia nigricans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0
