"Plant","Andrena","Anthidium sticticum","Apidae","Apis melifera","Bombus terrestris","Callophrys rubi","Coleoptera","Colletes","Conophorus virescens","Criptocephalus","Dasytidae","Halictus pyrenaicus","Mordellistena pumila","Oedemera lurida","Oedemera nobilis","Osmia","Oxythyrea funesta","Plagiolepsis pigmaea","Psilothrix","Pyronia tithonus","Zygaena"
"Carpobrotus spp. acinaciformis",0,1,1,2,3,0,3,0,0,3,0,0,4,9,1,0,3,0,2,0,0
"Cistus albidus",3,1,0,2,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0
"Cistus monspeliensis",3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0
"Cistus salvifolius",5,0,0,1,0,0,2,0,0,0,1,0,0,2,3,0,3,1,3,0,0
"Dorichnium pentaphylum",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",1,0,0,0,2,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,1
"Helichrisum stoechas",0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"Lavandula stoechas",0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sonchus tenerrinus",6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
"Urospermum picrioides",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0
